fold,model,accuracy,macro_f1,loss
1,logistic_regression,0.895,0.8071182548794489,0.19288174512055112
1,random_forest,0.925,0.8314512051238834,0.16854879487611663
1,hist_gradient_boosting,0.955,0.902126039910826,0.09787396008917404
2,logistic_regression,0.91,0.5744400527009222,0.42555994729907776
2,random_forest,0.915,0.5688415688415689,0.4311584311584311
2,hist_gradient_boosting,0.94,0.5982803623522187,0.4017196376477813
3,logistic_regression,0.93,0.850139156497538,0.14986084350246198
3,random_forest,0.955,0.8953427524856097,0.10465724751439032
3,hist_gradient_boosting,0.945,0.8622848200312989,0.13771517996870108
4,logistic_regression,0.93,0.8546511627906976,0.14534883720930236
4,random_forest,0.91,0.81312292358804,0.18687707641196005
4,hist_gradient_boosting,0.95,0.8857142857142857,0.11428571428571432
5,logistic_regression,0.94,0.8628571428571429,0.13714285714285712
5,random_forest,0.93,0.8452696728558797,0.15473032714412027
5,hist_gradient_boosting,0.94,0.8526160648489314,0.14738393515106862
